Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,0.304688,0,-0.00261273,0,0
0.00110257,0,0.300781,0,-0.00261273,0.00725408,0
0.00199713,0,0.96875,0,-0.00261273,0.0131375,0
0.00299314,0,1.53906,0.241773,-0.00247988,0.0196836,3.22241
0.00398625,0,2.11719,0.123593,-0.00234703,0.0262038,2.26605
0.0049896,0,2.63281,0.405961,-0.00194848,0.0327819,9.25598
0.00608577,0,2.74219,0.647734,-0.00123994,0.039955,15.382
0.00712123,0,2.91797,1.0546,-0.000221418,0.0467152,26.6493
0.00812633,0,3.1875,1.50927,0.00101852,0.0532603,41.6616
0.00916105,0,3.03516,1.89178,0.00287843,0.0599781,49.7244
0.0100581,0,3.28906,1.69241,0.00416266,0.065784,48.2053
0.0110306,0,3.35938,2.44028,0.00602257,0.0720565,70.993
0.0120687,0,3.375,2.76144,0.00832532,0.078726,80.71
0.0130774,0,3.42578,2.10288,0.0108052,0.0851768,62.3867
0.0140763,0,3.41016,2.81286,0.0135065,0.0915355,83.0693
0.0150464,0,3.44531,3.27205,0.0164292,0.0976792,97.6262
0.0160651,0,3.41406,2.64236,0.0193519,0.104096,78.1234
0.0170343,0,3.29688,3.76552,0.0229389,0.110165,107.509
0.0180915,0,3.33594,3.36858,0.0270573,0.116743,97.3156
0.0190241,0,3.20312,3.43443,0.0302457,0.122508,95.2679
0.0199942,0,3.05469,4.65141,0.0344084,0.128464,123.047
0.0210506,0,2.88672,3.55532,0.0386596,0.134902,88.8794
0.0220642,0,2.80078,4.92386,0.0432651,0.141027,119.427
0.0230827,0,2.73828,4.95543,0.0484463,0.147131,117.511
0.0240539,0,2.26953,5.82058,0.0530518,0.152901,114.399
0.0250591,0,2.40234,5.28111,0.0579673,0.158819,109.87
0.0260642,0,2.08203,6.09573,0.0633256,0.164679,109.908
0.0270669,0,1.91406,4.50617,0.0680639,0.170467,74.6933
0.0280868,0,1.95703,4.94551,0.0735994,0.176291,83.816
0.0290737,0,1.46094,6.71821,0.0792677,0.181865,84.9969
0.0300401,0,1.70703,5.03753,0.0842274,0.187262,74.4692
0.03103,0,1.41016,5.98658,0.0902943,0.192725,73.1078
0.0319818,0,1.32422,4.9419,0.0949884,0.197916,56.6724
0.032987,0,1.15234,5.97846,0.101321,0.203328,59.6608
0.0340454,0,0.695312,5.83592,0.107742,0.208948,35.1404
0.0350417,0,0.945312,4.9825,0.113233,0.214161,40.7888
0.036019,0,0.914062,4.74524,0.11775,0.219203,37.5623
0.0369485,0,1.07812,6.18865,0.123684,0.223928,57.7808
0.0380019,0,0.828125,6.77234,0.129662,0.229201,48.5682
0.0390039,0,0.632812,5.49672,0.135596,0.234133,30.1229
0.0399975,0,0.816406,5.28742,0.140778,0.23894,37.3825
0.0410214,0,0.445312,4.646,0.146446,0.243807,17.9169
0.0419974,0,0.492188,4.91394,0.152336,0.248361,20.9449
0.04299,0,0.746094,5.96041,0.157915,0.252906,38.5113
0.0440213,0,0.433594,5.3632,0.163274,0.257535,20.1384
0.0450178,0,0.398438,4.74343,0.168809,0.261915,16.3671
0.046005,0,0.175781,6.03349,0.174522,0.266164,9.18457
0.0469813,0,0.296875,4.7308,0.179526,0.270275,12.1626
0.0479776,0,0.472656,4.94822,0.185061,0.274375,20.2541
