Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,-0.0078125,-0.124495,0.706412,0,0.00842285
0.00115672,0,-0.015625,0.109158,0.706456,0.00761034,-0.0147705
0.00211645,0,-12.2812,0.101039,0.706456,0.013922,-10.7461
0.00309261,0,-15.6953,-1.06723,0.705748,0.020337,145.059
0.00418762,0,-15.3047,-2.19039,0.703401,0.0275248,290.311
0.00511816,0,-14.7695,-4.17689,0.699991,0.0336239,534.242
0.00612268,0,-15.2344,-5.71774,0.695208,0.0401962,754.34
0.00708758,0,-16.082,-6.40878,0.690027,0.0464958,892.553
0.00816526,0,-16.4492,-6.60725,0.683075,0.0535134,941.204
0.00907914,0,-18.8164,-7.9406,0.676432,0.0594471,1293.92
0.010067,0,-16.5234,-8.20042,0.668373,0.0658413,1173.42
0.0110665,0,-17.1914,-11.1585,0.657833,0.0722876,1661.25
0.0121646,0,-17.6914,-9.18104,0.645301,0.0793404,1406.6
0.0130801,0,-16.7852,-13.3796,0.636975,0.0851941,1944.85
0.0140848,0,-14.9414,-10.2438,0.626347,0.0915896,1325.47
0.0150761,0,-9.07422,-14.307,0.613904,0.0978671,1124.28
0.0161247,0,-7.92969,-13.9867,0.600397,0.10447,960.483
0.0171331,0,-5.25781,-12.3638,0.588441,0.110782,562.956
0.0181549,0,-5.86328,-11.0494,0.577281,0.117137,561.043
0.019112,0,-5.50781,-9.95958,0.56683,0.123049,475.049
0.0201188,0,-5.82422,-10.5126,0.555272,0.129226,530.231
0.0210847,0,-3.56641,-12.6128,0.544334,0.135108,389.546
0.0220672,0,-6.11328,-8.75794,0.535035,0.141045,463.654
0.023083,0,-3.67578,-9.34433,0.524008,0.147133,297.451
0.024069,0,-3.6875,-11.79,0.513336,0.15299,376.5
0.0250464,0,-4.02734,-11.0782,0.503992,0.158744,386.373
0.0260362,0,-3.87109,-11.5437,0.493674,0.164517,386.988
0.0270284,0,-4.12891,-8.67404,0.484684,0.170245,310.152
0.0280576,0,-4.58594,-9.15488,0.474676,0.176125,363.579
0.0290388,0,-3.67188,-9.96319,0.465199,0.181668,316.814
0.0300644,0,-3.66016,-9.6276,0.454704,0.187397,305.166
0.031122,0,-2.42969,-9.93884,0.445139,0.19323,209.124
0.0320398,0,-3.5625,-7.94331,0.436814,0.19823,245.061
0.0331143,0,-2.61719,-9.61587,0.427558,0.204008,217.942
0.0340289,0,-2.74219,-9.13954,0.41941,0.20886,217.04
0.035047,0,-3.125,-7.61854,0.405992,0.214189,206.177
0.0370793,0,-2.78906,-9.76202,0.39284,0.224588,235.785
0.0380527,0,-3.01953,-7.51028,0.385046,0.229453,196.387
0.0390313,0,-2.26562,-9.73766,0.376366,0.234266,191.056
0.0400328,0,-2.84375,-8.68036,0.368041,0.239109,213.77
0.0410162,0,-2.03125,-7.69071,0.360159,0.243782,135.284
