Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,0.238281,0.121788,-0.00048712,0,0.251312
0.00137839,0,0.234375,-0.0387919,-0.000531403,0.0090684,-0.0787354
0.00226097,0,4.38672,0.0938222,-0.00048712,0.0148721,3.56421
0.00328606,0,6.19922,0.686526,-8.85672e-05,0.0216076,36.8563
0.00435365,0,7.77344,1.15113,0.000929956,0.0286137,77.4915
0.00526414,0,8.96875,1.75556,0.00256845,0.0345798,136.353
0.0062612,0,8.79688,3.16289,0.00549117,0.0411015,240.952
0.00733051,0,9.03516,3.38662,0.00907814,0.0480795,264.984
0.00826647,0,9.17578,4.8553,0.0129751,0.0541713,385.813
0.00932592,0,8.81641,4.69291,0.0180677,0.0610466,358.304
0.0102747,0,7.54297,6.31856,0.0232489,0.0671827,412.742
0.0112217,0,6.77344,7.47239,0.0297586,0.0732863,438.315
0.012209,0,6.25781,5.66812,0.0356483,0.0796245,307.171
0.0132006,0,5.50391,8.89597,0.0431322,0.0859632,424.016
0.0141842,0,4.35156,8.79222,0.0499962,0.0922204,331.331
0.015177,0,2.73828,8.15802,0.0577901,0.0985042,193.455
0.0162229,0,1.83203,8.67945,0.0661154,0.105087,137.703
0.0172488,0,0.980469,7.45616,0.0745293,0.111504,63.3092
0.0182034,0,0,7.0105,0.0819247,0.117437,0
0.0191883,0,-0.375,9.292,0.0902943,0.123519,-30.1758
0.0201641,0,-1.35547,7.06463,0.0975568,0.129503,-82.9272
0.0212068,0,-1.60547,7.19363,0.105528,0.135849,-100.016
0.0222107,0,-2.31641,8.51887,0.113853,0.141908,-170.889
0.0231803,0,-2.42969,7.75837,0.120451,0.147713,-163.245
0.024245,0,-3.02734,5.71503,0.128998,0.15403,-149.83
0.0251715,0,-2.32031,5.73578,0.133648,0.159477,-115.254
0.0261752,0,-1.99219,7.3488,0.140246,0.165323,-126.784
0.0272056,0,-2.00391,6.17873,0.146269,0.171263,-107.225
0.0281909,0,-1.375,6.25541,0.152336,0.176882,-74.4863
0.0292085,0,-0.9375,5.21976,0.158181,0.182621,-42.3779
0.0302107,0,-0.707031,4.71817,0.163185,0.188208,-28.8889
0.0312004,0,-0.25,4.93288,0.168765,0.193659,-10.6797
0.0322063,0,-0.257812,6.23286,0.174256,0.19913,-13.9158
0.0331853,0,-0.0703125,5.49852,0.179437,0.204387,-3.34808
0.0341889,0,0.121094,5.38846,0.184176,0.209703,5.65073
0.0351533,0,0.644531,4.82823,0.189091,0.214741,26.9495
0.0362262,0,0.421875,5.92162,0.194804,0.220262,21.6343
0.037185,0,0.574219,4.46828,0.199498,0.22512,22.2196
0.0381833,0,0.65625,6.01093,0.204856,0.2301,34.1609
0.0391835,0,0.464844,5.45973,0.209993,0.235008,21.9784
0.0402802,0,0.140625,6.0389,0.215971,0.240293,7.35425
0.041233,0,0.320312,6.02898,0.220754,0.244801,16.7238
0.0423691,0,-0.207031,5.54092,0.226511,0.250073,-9.93427
0.0432808,0,0.0117188,4.54045,0.231249,0.254221,0.460785
0.0443023,0,-0.214844,4.19403,0.236297,0.25878,-7.80319
0.0452479,0,-0.109375,4.78132,0.241124,0.262914,-4.52881
0.0463007,0,-0.515625,5.82419,0.246704,0.267418,-26.0068
0.0472944,0,-0.710938,5.08264,0.251575,0.271574,-31.2924
0.0482496,0,-0.597656,5.74029,0.256136,0.275478,-29.7101
