Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,0.253906,0,-0.00239132,0,0
0.000704836,0,0.277344,0.0324769,-0.00239132,0.0046375,0.0780029
0.00169597,0,0.683594,0,-0.00239132,0.0111571,0
0.00270756,0,1.375,0.00902136,-0.00234703,0.0178073,0.107422
0.00372761,0,1.93359,0.141635,-0.0021699,0.0245065,2.37167
0.00472934,0,2.39062,0.454677,-0.00177134,0.0310766,9.41309
0.00571354,0,2.70703,0.555716,-0.00128422,0.0375209,13.0276
0.00675053,0,2.92578,0.923788,-0.000442836,0.0442969,23.4062
0.00770956,0,3.12891,0.958971,0.000531403,0.0505485,25.9846
0.0087182,0,3.24609,1.23954,0.0019042,0.0571056,34.8448
0.00972395,0,3.32031,1.5616,0.00358697,0.0636234,44.902
0.0107361,0,3.22266,2.14257,0.00553545,0.0701593,59.7954
0.0117255,0,3.27734,2.07491,0.00761678,0.0765238,58.8898
0.0127045,0,3.3125,2.71994,0.0102738,0.0827957,78.0249
0.0137491,0,3.15234,3.23957,0.0131522,0.0894565,88.438
0.0147273,0,3.125,3.34241,0.0158978,0.0956621,90.4541
0.0156977,0,3.15625,2.61259,0.0188205,0.101786,71.4102
0.0167349,0,2.80469,3.61486,0.0227618,0.108294,87.7999
0.0177064,0,3.09766,3.52194,0.0263045,0.114353,94.4785
0.0187095,0,2.80078,4.14712,0.0302014,0.120568,100.587
0.0196897,0,2.96484,3.91798,0.0340541,0.126599,100.596
0.0206875,0,2.72266,3.48946,0.038261,0.132695,82.2753
0.0217984,0,2.50781,4.71727,0.0432208,0.139426,102.448
0.0227223,0,2.59766,5.44259,0.0475606,0.144977,122.435
0.0237142,0,2.3125,4.7732,0.0521661,0.150889,95.5894
0.0247108,0,2.30469,4.16155,0.0571259,0.156775,83.0588
0.0257686,0,2.29688,5.73849,0.0622185,0.162962,114.144
0.0267644,0,2.0625,5.16383,0.0672225,0.168727,92.2324
0.0277048,0,2.00391,6.03439,0.072138,0.174117,104.72
0.0287609,0,1.71094,5.31358,0.0773192,0.180105,78.7299
0.0297113,0,1.98438,5.20893,0.0824561,0.185432,89.5139
0.0307048,0,1.46094,5.62572,0.0878587,0.190938,71.175
0.0317066,0,1.47656,5.73488,0.0933499,0.196421,73.3321
0.0327533,0,1.41406,4.88056,0.099151,0.202076,59.7662
0.0336977,0,1.28516,4.68119,0.104288,0.207111,52.099
0.0347699,0,0.867188,6.00552,0.110709,0.212747,45.1005
0.0357125,0,0.984375,6.67761,0.116156,0.21763,56.9246
0.0366888,0,0.875,4.78764,0.121869,0.222615,36.2783
0.0376974,0,0.703125,6.05604,0.127803,0.227686,36.8756
0.038718,0,0.988281,5.24773,0.133072,0.232734,44.9128
0.0397002,0,0.445312,6.87969,0.139051,0.23751,26.5309
0.0407509,0,0.566406,6.1219,0.145915,0.24253,30.0284
0.0417404,0,0.699219,5.28923,0.150653,0.24717,32.0275
0.0427193,0,0.394531,6.66588,0.156498,0.251675,22.7749
0.0437871,0,0.304688,6.66137,0.162787,0.256492,17.5767
0.0447886,0,0.265625,5.8702,0.167791,0.260916,13.5033
0.0457449,0,0.335938,4.73622,0.172883,0.265053,13.7787
0.0467243,0,0.277344,4.55579,0.177887,0.269201,10.9421
0.047693,0,0.253906,5.79442,0.183467,0.273214,12.7409
0.0487894,0,0.253906,4.58285,0.189445,0.277645,10.0769
0.0497846,0,0.226562,5.06369,0.194494,0.281565,9.93512
0.0507568,0,0.21875,6.16249,0.199675,0.285298,11.6741
0.0517277,0,0.320312,4.75516,0.204369,0.288931,13.1904
0.0527383,0,0.148438,4.83184,0.209683,0.29261,6.21118
0.0537287,0,0.0898438,5.39658,0.214687,0.296112,4.19879
0.0547339,0,-0.0234375,5.38666,0.219824,0.299561,-1.09332
0.0557175,0,0,5.30276,0.224695,0.302831,0
0.0567129,0,0.0234375,4.17238,0.229123,0.306035,0.846863
0.057702,0,-0.09375,5.16293,0.234039,0.309112,-4.19165
0.0587182,0,-0.0859375,4.44934,0.23891,0.312162,-3.31128
0.0597166,0,-0.191406,4.69201,0.243471,0.315046,-7.77737
0.0607838,0,-0.117188,3.61847,0.247944,0.318005,-3.67218
0.0617757,0,-0.222656,3.80702,0.252549,0.320641,-7.3407
0.0627221,0,-0.0390625,4.07675,0.256535,0.323051,-1.37909
0.0637048,0,-0.289062,4.35642,0.260742,0.325445,-10.9053
0.0646955,0,-0.382812,4.87695,0.265569,0.327745,-16.1678
0.0657292,0,-0.3125,3.50931,0.269112,0.330023,-9.49707
0.0666857,0,-0.1875,3.62478,0.272698,0.33202,-5.88574
0.0676845,0,-0.320312,3.6753,0.276728,0.33399,-10.1949
0.06869,0,-0.402344,3.05193,0.280404,0.335853,-10.6338
0.069742,0,-0.242188,3.41008,0.284522,0.337673,-7.1521
0.0707123,0,-0.515625,3.76642,0.287711,0.339234,-16.8182
0.071677,0,-0.535156,3.93331,0.291253,0.340674,-18.2288
0.072705,0,-0.429688,3.81964,0.29453,0.342084,-14.2133
0.0736796,0,-0.488281,2.80294,0.297453,0.343303,-11.8523
0.0747098,0,-0.484375,2.70551,0.300509,0.344464,-11.3488
0.075674,0,-0.460938,3.48225,0.303564,0.345434,-13.9001
0.0767331,0,-0.648438,2.98697,0.309454,0.346368,-16.7733
0.078714,0,-0.597656,2.62341,0.311757,0.347743,-13.578
0.0797227,0,-0.558594,2.5774,0.314325,0.348258,-12.468
0.0807295,0,-0.515625,2.65228,0.316761,0.348646,-11.8433
0.0817074,0,-0.527344,2.61168,0.318842,0.348902,-11.927
0.082687,0,-0.546875,2.34465,0.321012,0.34904,-11.1041
0.0836818,0,-0.507812,1.82953,0.322872,0.349058,-8.04565
0.0846863,0,-0.628906,2.25624,0.324865,0.348952,-12.2882
0.085729,0,-0.605469,1.89629,0.326813,0.34871,-9.94293
0.0867115,0,-0.554688,1.99372,0.328363,0.348358,-9.57703
0.0876889,0,-0.628906,1.35501,0.32978,0.34789,-7.37982
0.0886825,0,-0.566406,1.28284,0.331241,0.347293,-6.29242
0.0896882,0,-0.679688,1.49033,0.332614,0.346564,-8.77222
0.0906749,0,-0.648438,1.11504,0.333721,0.345729,-6.26147
0.0916757,0,-0.722656,0.940928,0.334784,0.344759,-5.88852
0.0927168,0,-0.667969,0.81102,0.335803,0.34362,-4.69144
0.0938967,0,-0.6875,0.938222,0.336865,0.342169,-5.58594
0.0947626,0,-0.765625,0.840791,0.33753,0.340997,-5.57471
