Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,0.191406,-0.0902136,-0.00048712,0,-0.149536
0.00157071,0,0.214844,0,-0.00048712,0.000688991,0
0.00261874,0,0.398438,0.0144342,-0.00048712,0.00114871,0.0498047
0.0035223,0,0.511719,0.0676602,-0.000442836,0.00154505,0.299835
0.00455907,0,0.675781,0.0451068,-0.000398553,0.00199982,0.263977
0.00554775,0,0.882812,0.152461,-0.000309985,0.0024335,1.16559
0.00656254,0,0.921875,0.219219,-0.000177134,0.00287862,1.75012
0.007524,0,0.925781,0.0956264,-4.42836e-05,0.00330035,0.766663
0.00861321,0,0.933594,0.313041,0.000309985,0.0037781,2.53091
0.0095931,0,0.949219,0.396038,0.000575687,0.0042079,3.25552
0.0105165,0,0.9375,0.435732,0.000885672,0.0046129,3.5376
0.0116097,0,0.832031,0.549401,0.00137279,0.0050924,3.95865
0.0125736,0,0.765625,0.408668,0.00177134,0.00551518,2.70959
0.013574,0,0.570312,0.363561,0.00225846,0.00595395,1.79559
0.0145283,0,0.597656,0.678406,0.00283415,0.00637247,3.51123
0.0155244,0,0.480469,0.4646,0.00327699,0.00680934,1.93314
0.016555,0,0.460938,0.470915,0.00380839,0.00726133,1.87976
0.017545,0,0.4375,0.516924,0.00433979,0.00769548,1.9585
0.018623,0,0.332031,0.318454,0.0048712,0.00816821,0.91568
0.0195599,0,0.375,0.538575,0.0054026,0.00857908,1.74902
0.0205659,0,0.386719,0.53226,0.00588972,0.00902021,1.78253
0.0216261,0,0.347656,0.534065,0.00642112,0.00948512,1.60791
0.0225209,0,0.308594,0.572857,0.00686396,0.00987744,1.53091
0.0236278,0,0.324219,0.400549,0.00743965,0.0103628,1.12463
0.0246352,0,0.328125,0.673896,0.00797105,0.0108045,1.91492
0.0255879,0,0.328125,0.436634,0.00832532,0.0112222,1.24072
0.0265708,0,0.304688,0.348225,0.00876816,0.0116531,0.918823
0.0276045,0,0.363281,0.65856,0.00934384,0.0121063,2.07184
0.0287034,0,0.367188,0.47723,0.0097424,0.012588,1.51752
0.029603,0,0.40625,0.484447,0.0100967,0.0129823,1.70435
0.0306051,0,0.441406,0.631495,0.0105838,0.0134216,2.41394
0.0315519,0,0.4375,0.438438,0.0109381,0.0138366,1.66113
0.0324943,0,0.425781,0.2535,0.011248,0.0142496,0.934723
0.0335382,0,0.386719,0.395136,0.0117794,0.0147072,1.3233
0.0345515,0,0.429688,0.365365,0.012178,0.0151512,1.35956
0.0355198,0,0.464844,0.467307,0.0126208,0.0155756,1.88116
0.0365281,0,0.410156,0.476328,0.0130637,0.0160174,1.69189
0.0374655,0,0.402344,0.497979,0.0134622,0.0164281,1.73511
0.0384706,0,0.332031,0.654951,0.0139493,0.0168685,1.88324
0.0394789,0,0.347656,0.506098,0.0143922,0.0173103,1.52371
0.0404505,0,0.371094,0.393331,0.0147907,0.0177359,1.26404
0.0415194,0,0.285156,0.30402,0.0153221,0.0182042,0.750763
0.0425197,0,0.375,0.39694,0.0157207,0.0186424,1.28906
0.0434708,0,0.359375,0.399646,0.0161635,0.0190589,1.24377
0.0444618,0,0.386719,0.550303,0.0166506,0.019493,1.84296
0.045488,0,0.429688,0.65856,0.0171378,0.0199424,2.45056
0.0465233,0,0.316406,0.330182,0.0175363,0.0203958,0.904724
0.0474939,0,0.359375,0.536771,0.0180234,0.0208208,1.67053
0.0485468,0,0.285156,0.610746,0.0185106,0.0212818,1.50821
0.0494989,0,0.289062,0.500686,0.0189091,0.0216986,1.25336
0.0504551,0,0.285156,0.34191,0.0193077,0.0221172,0.84433
0.0515237,0,0.261719,0.497979,0.0198833,0.022585,1.12866
0.0524686,0,0.335938,0.491664,0.0202376,0.0229986,1.43036
0.0535238,0,0.304688,0.491664,0.0207247,0.0234605,1.2973
0.0546102,0,0.277344,0.605333,0.0212119,0.0239359,1.45389
0.0555838,0,0.347656,0.369876,0.0215661,0.024362,1.11359
0.0565206,0,0.367188,0.392429,0.0219647,0.0247719,1.24786
0.0575056,0,0.378906,0.543086,0.0224075,0.0252028,1.78204
0.0585052,0,0.398438,0.306726,0.0228503,0.0256402,1.05835
0.0595274,0,0.34375,0.276956,0.0232046,0.0260873,0.824463
0.0604774,0,0.410156,0.385212,0.0236032,0.0265028,1.36826
0.0614518,0,0.378906,0.414081,0.024046,0.026929,1.35873
