Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,-0.195312,-0.00721709,0.00185991,0,0.012207
0.00146267,0,-0.238281,-0.156972,0.00185991,0.000641597,0.323914
0.00242255,0,-0.171875,-0.00541282,0.00185991,0.00106265,0.00805664
0.00338411,0,-0.078125,-0.039694,0.00185991,0.00148443,0.0268555
0.00437959,0,-0.109375,0.0126299,0.0019042,0.00192109,-0.0119629
0.00534258,0,-0.046875,0,0.0019042,0.0023435,-0
0.00643362,0,-0.0390625,-0.125397,0.0019042,0.00282207,0.0424194
0.00742857,0,0,0.00180427,0.00194848,0.00325849,0
0.00840532,0,0.0234375,0.202981,0.00203705,0.00368692,0.0411987
0.00939601,0,0.0820312,0.00902136,0.00208133,0.00412146,0.00640869
0.0113932,0,0.046875,0.0360854,0.0021699,0.00499743,0.0146484
0.0124037,0,0.179688,0.00902136,0.00221418,0.00544063,0.0140381
0.0134158,0,0.164062,0.2111,0.00234703,0.00588455,0.299927
0.0143854,0,0.191406,0.026162,0.00234703,0.00630978,0.0433655
0.0153801,0,0.253906,0.0279662,0.0024356,0.00674604,0.0614929
0.0163513,0,0.300781,0.0207491,0.00252417,0.00717196,0.0540466
0.0173745,0,0.28125,0.124495,0.00265702,0.00762069,0.303223
0.0183979,0,0.292969,0.0848008,0.00278987,0.00806951,0.215149
0.0194196,0,0.304688,0.119082,0.00292272,0.00851755,0.314209
0.0203451,0,0.300781,0.117278,0.00305557,0.00892338,0.305481
0.0213546,0,0.414062,0.267934,0.0032327,0.00936605,0.960754
0.0223564,0,0.367188,0.111865,0.00336555,0.00980533,0.355713
0.0233525,0,0.324219,0.122691,0.00354269,0.0102421,0.344482
0.0248538,0,0.367188,0.351833,0.00389696,0.0109003,1.11877
0.0264225,0,0.402344,0.202981,0.00416266,0.0115881,0.707245
0.0273494,0,0.429688,0.260717,0.00438408,0.0119944,0.970154
0.0283283,0,0.449219,0.152461,0.00456121,0.0124235,0.593109
0.0293491,0,0.492188,0.237262,0.00478263,0.012871,1.01129
0.0303567,0,0.480469,0.293194,0.00504833,0.0133127,1.21994
0.0313648,0,0.492188,0.153363,0.00526975,0.0137546,0.653687
0.0323474,0,0.527344,0.270641,0.00553545,0.0141852,1.23596
0.0333691,0,0.488281,0.487154,0.00588972,0.0146331,2.05994
0.0343364,0,0.453125,0.238164,0.00606686,0.0150569,0.93457
0.0353043,0,0.496094,0.313041,0.00633256,0.0154811,1.34488
0.0362973,0,0.464844,0.321161,0.00668683,0.0159163,1.29285
0.0372988,0,0.398438,0.238164,0.00699681,0.0163551,0.821777
0.0383276,0,0.390625,0.454677,0.00735108,0.0168059,1.53809
0.0393046,0,0.464844,0.256207,0.00761678,0.0172339,1.03137
0.0403001,0,0.445312,0.376191,0.00801533,0.01767,1.45074
0.0413774,0,0.4375,0.347322,0.0083696,0.018142,1.31592
0.0423208,0,0.476562,0.416787,0.00872387,0.0185552,1.72009
0.0433177,0,0.382812,0.286879,0.00907814,0.0189919,0.95105
0.0443238,0,0.472656,0.433025,0.00947669,0.0194325,1.77246
0.0452808,0,0.453125,0.443851,0.00983096,0.0198517,1.7417
0.0462804,0,0.398438,0.372582,0.0101852,0.0202894,1.28558
0.0472953,0,0.457031,0.432123,0.0105838,0.0207338,1.7103
