Time(s),d_Torque(Nm),a_Torque(Nm),Velocity(rad/s),Position(rad),Desired_Position(rad),Power(W)
0,0,0.367188,-0.0514218,-0.0027013,0,-0.163513
0.00193113,0,0.339844,-0.129908,-0.0027013,0.000847089,-0.382324
0.00288278,0,0.371094,0.0351833,-0.00265702,0.00126453,0.113068
0.00388414,0,0.390625,-0.119984,-0.0027013,0.00170377,-0.405884
0.00486981,0,0.375,-0.0189449,-0.00265702,0.00213612,-0.0615234
0.00591817,0,0.46875,0.110061,-0.00261273,0.00259598,0.446777
0.00688323,0,0.472656,-0.0478132,-0.00261273,0.00301928,-0.195709
0.0078643,0,0.535156,0.155167,-0.00252417,0.00344961,0.719116
0.0088673,0,0.535156,0.0378897,-0.00247988,0.00388955,0.175598
0.00986065,0,0.554688,0.125397,-0.00239132,0.00432525,0.602356
0.0108608,0,0.621094,0.0189449,-0.00234703,0.00476395,0.101898
0.0118916,0,0.664062,0.175014,-0.00221418,0.00521605,1.00647
0.0128957,0,0.613281,0.259815,-0.00208133,0.00565645,1.37988
0.0139627,0,0.605469,-0.0351833,-0.00199276,0.00612442,-0.184479
0.0149107,0,0.65625,0.16058,-0.00181563,0.00654017,0.912598
0.0160608,0,0.613281,0.152461,-0.00159421,0.0070446,0.809723
0.0169079,0,0.601562,0.162385,-0.00141708,0.00741609,0.845947
0.0178999,0,0.605469,0.172308,-0.00123994,0.00785113,0.903473
0.0188778,0,0.566406,0.158776,-0.00101852,0.00827996,0.778809
0.0199673,0,0.628906,0.351833,-0.000708538,0.00875774,1.9162
0.0208972,0,0.574219,0.38431,-0.000442836,0.00916548,1.91107
0.0218839,0,0.574219,0.215611,-0.000221418,0.00959815,1.07217
0.0228774,0,0.570312,0.321161,8.85672e-05,0.0100338,1.58618
0.0239258,0,0.59375,0.526848,0.00048712,0.0104935,2.70898
0.0249286,0,0.558594,0.308531,0.000752821,0.0109331,1.49249
0.0258801,0,0.566406,0.322063,0.00101852,0.0113503,1.57974
0.0267991,0,0.550781,0.331084,0.00132851,0.0117532,1.57919
0.0277661,0,0.535156,0.313041,0.00168278,0.0121771,1.45078
0.028836,0,0.441406,0.299509,0.00208133,0.0126461,1.1449
0.0297911,0,0.5,0.385212,0.0024356,0.0130648,1.66797
0.0308191,0,0.472656,0.480839,0.00283415,0.0135154,1.96817
0.0318047,0,0.515625,0.294999,0.00314414,0.0139474,1.31726
0.0328013,0,0.457031,0.385212,0.00358697,0.0143842,1.52463
0.0338328,0,0.441406,0.365365,0.00398553,0.0148363,1.39664
0.0348299,0,0.476562,0.543086,0.00447264,0.0152732,2.24133
0.0358258,0,0.546875,0.478132,0.00482691,0.0157096,2.2644
0.0367487,0,0.519531,0.442047,0.00518118,0.016114,1.98883
0.0378227,0,0.476562,0.467307,0.00562402,0.0165846,1.92859
0.0387594,0,0.453125,0.392429,0.00602257,0.0169951,1.53992
0.0397866,0,0.417969,0.35905,0.00650969,0.0174451,1.29962
0.0408037,0,0.414062,0.453775,0.00690824,0.0178907,1.62714
0.0417798,0,0.457031,0.480839,0.00735108,0.0183182,1.90311
0.0427798,0,0.445312,0.395136,0.00779392,0.0187563,1.5238
0.0438172,0,0.480469,0.430319,0.00823675,0.0192106,1.7905
0.0448494,0,0.429688,0.427613,0.00872387,0.0196627,1.59119
0.0458195,0,0.46875,0.319356,0.00912242,0.0200876,1.29639
0.0467391,0,0.445312,0.536771,0.00956526,0.0204903,2.07001
0.0477418,0,0.417969,0.394234,0.00996381,0.0209294,1.42697
0.0487946,0,0.414062,0.559325,0.0104509,0.0213903,2.00562
0.0497721,0,0.394531,0.318454,0.0108052,0.0218183,1.08804
0.0508044,0,0.414062,0.348225,0.0116023,0.0222701,1.24866
0.0527686,0,0.445312,0.325671,0.0120894,0.0231299,1.25592
0.0537854,0,0.453125,0.51963,0.0125765,0.023575,2.03906
0.0547478,0,0.339844,0.335595,0.0129751,0.0239961,0.987671
0.0557376,0,0.402344,0.520533,0.0135065,0.0244293,1.81369
0.0567785,0,0.394531,0.460992,0.0139493,0.0248847,1.57504
0.0577563,0,0.386719,0.402353,0.0143922,0.0253125,1.34747
0.0587728,0,0.398438,0.393331,0.0147907,0.0257572,1.35718
0.059796,0,0.375,0.607138,0.0153221,0.0262048,1.97168
0.0607366,0,0.355469,0.452872,0.0157207,0.0266162,1.3941
0.0617336,0,0.335938,0.44746,0.0161635,0.0270522,1.30176
0.0627361,0,0.429688,0.575563,0.0166506,0.0274906,2.14172
0.063732,0,0.378906,0.494371,0.0170935,0.0279261,1.62219
0.0647725,0,0.410156,0.465502,0.0175806,0.028381,1.65344
0.0657346,0,0.359375,0.503392,0.0180234,0.0288017,1.56665
0.0667676,0,0.339844,0.411374,0.0184663,0.0292532,1.21069
0.0678247,0,0.417969,0.66307,0.0189977,0.0297152,2.40005
0.0687833,0,0.324219,0.483545,0.0194405,0.0301342,1.35767
0.0698129,0,0.332031,0.403255,0.0198833,0.0305841,1.15952
0.0707671,0,0.371094,0.510609,0.0203705,0.031001,1.64093
0.0718008,0,0.347656,0.600823,0.0208576,0.0314527,1.8089
